Material;Material short text;Final net price;Price quantity unit net price;Consumptions
02167-006;StoSeal Band AD-200 185 mm 25 m per roll;4,98;M;1,00 m/m
02167-007;StoSeal Band AD-200 75 mm;1,37;M;1,00 m/m
08754-028;StoSeal Band BUT-105 120 mm;2,52;M;1,00 m/m
08754-024;StoSeal Band Elast 75 mm (cover film 25;1,91;M;1,00 m/m
08754-025;StoSeal Band Elast inside corner grey 70/70/;3,86;ST;
08754-026;StoSeal Band Elast inside corner grey 70/70/;3,86;ST;
00508-001;Sto-joint putty WF plasticizer-free 310 ml;2,45;ST;
00016-001;StoColl Fix 290 ml cartridge;9,20;ST;4,00 - 8,00 m²/piece
01955-002;StoSeal F 100 310 ml;8,12;ST;
01900-003;Sto-expansion joint tape 25/10-18 mm anthracite;5,12;M;1,02 m/m
01900-004;Sto-expansion joint tape 25/10-18 mm light grey;6,81;M;1,02 m/m
01901-004;Sto-expansion joint tape 30/13-24 mm anthracite;11,63;M;1,02 m/m
01900-002;Sto-expansion joint tape 30/13-24 mm light grey;10,59;M;1,02 m/m
01900-001;Sto-expansion joint tape 37/17-32 mm anthracite;14,42;M;1,02 m/m
01947-001;Sto-expansion joint tape 37/17-32 mm light grey;16,27;M;1,02 m/m
01901-001;Sto-expansion joint tape 47/28-40 mm anthracite;32,68;M;1,02 m/m
01948-001;Sto-expansion joint tape 47/28-40 mm light grey;32,68;M;1,02 m/m
01943-005;Sto-window sill tape 20/1,5-3;1,17;M;1,00 m/m
01845-001;Sto-joint sealing tape 2D Typ 15/2-6 15 mm b;1,16;M;1,00 m/m
01846-001;Sto-joint sealing tape 2D Typ 15/5-12 15 mm;2,44;M;1,00 m/m
01944-016;Sto-joint sealing tape Lento 15/2-6;0,92;M;1,00 m/m
01944-017;Sto-joint sealing tape Lento 15/3-9;0,92;M;1,00 m/m
01944-007;Sto-joint sealing tape Lento 15/5-12;1,62;M;1,00 m/m
01944-005;Sto-joint sealing tape Lento 25/9-18;4,01;M;1,00 m/m
00506-001;Sto-gun foam SE B1 750 ml;11,74;ST;
00530-004;Sto-backer rod profile 1 cm;0,48;M;1,00 m/m
00530-005;Sto-backer rod profile 1,5 cm;0,60;M;1,00 m/m
00530-006;Sto-backer rod profile 2 cm;0,70;M;1,00 m/m
00530-007;Sto-backer rod profile 3 cm;1,32;M;1,00 m/m
00530-008;Sto-backer rod profile 4 cm;1,76;M;1,00 m/m
00530-009;Sto-backer rod profile 6 mm;0,23;M;1,00 m/m
09220-001;Sto-grooved tape;3,80;M;
01930-002;StoFoam Elast 600 750 ml;35,12;ST;
09594-002;Sto-drive-in anchor eco T SK-01 8/60 115 mm;0,49;ST;
09594-003;Sto-drive-in anchor eco T SK-01 8/60 135 mm;0,53;ST;
09594-004;Sto-drive-in anchor eco T SK-01 8/60 155 mm;0,61;ST;
09594-005;Sto-drive-in anchor eco T SK-01 8/60 175 mm;0,69;ST;
09594-006;Sto-drive-in anchor eco T SK-01 8/60 195 mm;0,86;ST;
09594-007;Sto-drive-in anchor eco T SK-01 8/60 215 mm;0,99;ST;
09594-008;Sto-drive-in anchor eco T SK-01 8/60 235 mm;1,20;ST;
09594-009;Sto-drive-in anchor eco T SK-01 8/60 255 mm;1,45;ST;
09594-010;Sto-drive-in anchor eco T SK-01 8/60 275 mm;1,53;ST;
09594-011;Sto-drive-in anchor eco T SK-01 8/60 295 mm;1,73;ST;
09594-001;Sto-drive-in anchor eco T SK-01 8/60 95 mm;0,47;ST;
04765-019;Sto-drive-in anchor T-Save UEZ-K 8/60 100 mm;0,47;ST;
04765-020;Sto-drive-in anchor T-Save UEZ-K 8/60 120 mm;0,53;ST;
04765-021;Sto-drive-in anchor T-Save UEZ-K 8/60 140 mm;0,53;ST;
04765-022;Sto-drive-in anchor T-Save UEZ-K 8/60 160 mm;0,58;ST;
04765-023;Sto-drive-in anchor T-Save UEZ-K 8/60 180 mm;0,64;ST;
04765-024;Sto-drive-in anchor T-Save UEZ-K 8/60 200 mm;0,73;ST;
04765-030;Sto-drive-in anchor T-Save UEZ-K 8/60 220 mm;0,95;ST;
04765-026;Sto-drive-in anchor T-Save UEZ-K 8/60 240 mm;1,16;ST;
04765-027;Sto-drive-in anchor T-Save UEZ-K 8/60 260 mm;1,55;ST;
04765-028;Sto-drive-in anchor T-Save UEZ-K 8/60 280 mm;1,66;ST;
04765-029;Sto-drive-in anchor T-Save UEZ-K 8/60 300 mm;1,77;ST;
01150-001;Sto-drive-in anchor UK8/60  70 mm;0,27;ST;
01150-002;Sto-drive-in anchor UK8/60  90 mm;0,31;ST;
09333-001;Sto-Ecotwist 10-30;1,25;ST;
09333-006;Sto-Ecotwist 30-60;1,61;ST;
02754-022;Sto-screw anchor S1 short 8/60 100 mm;0,50;ST;1,0 pc/pc
02754-020;Sto-screw anchor S1 short 8/60 60 mm;0,49;ST;1,0 pc/pc
02754-021;Sto-screw anchor S1 short 8/60 80 mm;0,50;ST;1,0 pc/pc
01011-059;Sto-thermal anchor II UEZ 8/60 115 mm;0,46;ST;
01011-060;Sto-thermal anchor II UEZ 8/60 135 mm;0,47;ST;
01011-061;Sto-thermal anchor II UEZ 8/60 155 mm;0,56;ST;
01011-062;Sto-thermal anchor II UEZ 8/60 175 mm;0,68;ST;
01011-063;Sto-thermal anchor II UEZ 8/60 195 mm;0,88;ST;
01011-064;Sto-thermal anchor II UEZ 8/60 215 mm;1,03;ST;
01011-065;Sto-thermal anchor II UEZ 8/60 235 mm;1,14;ST;
01011-066;Sto-thermal anchor II UEZ 8/60 255 mm;1,30;ST;
01011-067;Sto-thermal anchor II UEZ 8/60 275 mm;1,48;ST;
01011-068;Sto-thermal anchor II UEZ 8/60 295 mm;1,64;ST;
01011-069;Sto-thermal anchor II UEZ 8/60 315 mm;2,34;ST;
01011-070;Sto-thermal anchor II UEZ 8/60 335 mm;2,79;ST;
01011-071;Sto-thermal anchor II UEZ 8/60 355 mm;3,18;ST;
01011-072;Sto-thermal anchor II UEZ 8/60 375 mm;3,63;ST;
01011-073;Sto-thermal anchor II UEZ 8/60 395 mm;4,07;ST;
01011-074;Sto-thermal anchor II UEZ 8/60 415 mm;4,30;ST;
01011-075;Sto-thermal anchor II UEZ 8/60 435 mm;4,62;ST;
01011-076;Sto-thermal anchor II UEZ 8/60 455 mm;4,91;ST;
04537-001;Sto-thermal anchor II-F 8/110 115 mm;0,84;ST;
04537-002;Sto-thermal anchor II-F 8/110 135 mm;0,91;ST;
04537-003;Sto-thermal anchor II-F 8/110 155 mm;0,99;ST;
04537-004;Sto-thermal anchor II-F 8/110 175 mm;1,10;ST;
04537-005;Sto-thermal anchor II-F 8/110 195 mm;1,27;ST;
04537-006;Sto-thermal anchor II-F 8/110 215 mm;1,41;ST;
04537-007;Sto-thermal anchor II-F 8/110 235 mm;1,58;ST;
04537-008;Sto-thermal anchor II-F 8/110 255 mm;1,74;ST;
04537-009;Sto-thermal anchor II-F 8/110 275 mm;1,90;ST;
04537-010;Sto-thermal anchor II-F 8/110 295 mm;2,06;ST;
04537-011;Sto-thermal anchor II-F 8/110 315 mm;2,73;ST;
04537-013;Sto-thermal anchor II-F 8/110 355 mm;3,55;ST;
04537-014;Sto-thermal anchor II-F 8/110 375 mm;3,97;ST;
04536-002;Sto-thermal anchor II-F 8/60 115 mm;0,39;ST;
04536-003;Sto-thermal anchor II-F 8/60 135 mm;0,46;ST;
04536-004;Sto-thermal anchor II-F 8/60 155 mm;0,55;ST;
04536-005;Sto-thermal anchor II-F 8/60 175 mm;0,65;ST;
04536-006;Sto-thermal anchor II-F 8/60 195 mm;0,84;ST;
04536-007;Sto-thermal anchor II-F 8/60 215 mm;0,99;ST;
04536-008;Sto-thermal anchor II-F 8/60 235 mm;1,15;ST;
04536-009;Sto-thermal anchor II-F 8/60 255 mm;1,32;ST;
04536-010;Sto-thermal anchor II-F 8/60 275 mm;1,50;ST;
04536-011;Sto-thermal anchor II-F 8/60 295 mm;1,65;ST;
04536-016;Sto-thermal anchor II-F 8/60 315 mm;2,25;ST;
04536-013;Sto-thermal anchor II-F 8/60 335 mm;2,69;ST;
04536-014;Sto-thermal anchor II-F 8/60 355 mm;3,07;ST;
04536-015;Sto-thermal anchor II-F 8/60 375 mm;3,64;ST;
04536-001;Sto-thermal anchor II-F 8/60 95 mm;0,36;ST;
01011-117;thermal anchor TD-20 315 mm;3,02;ST;
01011-118;thermal anchor TD-20 335 mm;3,54;ST;
02653-012;Sto-screw anchor H 60  80 mm;0,44;ST;
02653-013;Sto-screw anchor H 60 100 mm;0,50;ST;
02653-014;Sto-screw anchor H 60 120 mm;0,57;ST;
02653-015;Sto-screw anchor H 60 140 mm;0,66;ST;
02653-016;Sto-screw anchor H 60 160 mm;0,74;ST;
02653-017;Sto-screw anchor H 60 180 mm;0,79;ST;
02653-018;Sto-screw anchor H 60 200 mm;0,87;ST;
02653-019;Sto-screw anchor H 60 220 mm;1,00;ST;
02653-020;Sto-screw anchor H 60 240 mm;1,14;ST;
02653-021;Sto-screw anchor H 60 260 mm;1,27;ST;
02653-022;Sto-screw anchor H 60 280 mm;1,40;ST;
02653-023;Sto-screw anchor H 60 300 mm;1,57;ST;
02653-039;Sto-screw anchor H 60 320 mm;2,30;ST;
02653-040;Sto-screw anchor H 60 340 mm;2,50;ST;
02653-047;Sto-screw anchor H 60 E 100 mm;1,26;ST;
02653-048;Sto-screw anchor H 60 E 120 mm;1,53;ST;
02653-049;Sto-screw anchor H 60 E 140 mm;1,82;ST;
02653-050;Sto-screw anchor H 60 E 160 mm;2,11;ST;
02653-045;Sto-screw anchor H 60 E 180 mm;2,14;ST;
02653-051;Sto-screw anchor H 60 E 200 mm;2,31;ST;
02653-043;Sto-screw anchor H 60 E 220 mm;2,41;ST;
02653-044;Sto-screw anchor H 60 E 240 mm;2,61;ST;
02653-052;Sto-screw anchor H 60 E 260 mm;2,96;ST;
02653-053;Sto-screw anchor H 60 E 280 mm;3,13;ST;
02653-054;Sto-screw anchor H 60 E 300 mm;3,41;ST;
02653-055;Sto-screw anchor H 60 E 320 mm;3,45;ST;
02653-046;Sto-screw anchor H 60 E 80 mm;1,24;ST;
00935-005;StoFix Circonic screw anchor B3 green;2,33;ST;8,00 St./m²
00935-006;StoFix Circonic screw anchor B300 schwar;3,02;ST;8,00 St./m²
00935-018;StoFix Circonic screw anchor L2 green;2,62;ST;8,00 St./m²
00935-019;StoFix Circonic screw anchor L200 schwar;3,24;ST;8,00 St./m²
01146-001;Sto-anchor combination washer 140 mm plastic;0,49;ST;
01146-002;Sto-anchor combination washer 90 mm plastic;0,30;ST;
